name,status,price,items_sold,free_returns,shipping
Apple Watch Ultra 3 [GPS + Cellular 49mm] Running & Multisport Smartwatch,Brand New,$599.00,0,False,0
Apple Watch 1st Gen. 7000 Series 38mm 42mm - All Colors - Aluminum Case W/ Band,Pre-Owned,$49.99,0,False,0
Apple Watch (GPS + LTE) - Series 8 - 45MM Midnight Aluminum Case Midnight Sport,Good - Refurbished,$129.95,388,True,0
Apple Watch Series 5 40mm 44mm GPS+ WIFI + LTE UNLOCKED Gold Gray Silver - Good,Good - Refurbished,$94.89,444,True,0
Apple Watch Series 8 (GPS+LTE) 41MM Starlight Aluminum Case Starlight Sport Band,Good - Refurbished,$129.95,102,True,0
Apple Watch Series 4 40mm 44mm GPS + WIFI + Bluetooth - HEAVY SCRATCH,Pre-Owned,$64.99,53,True,0
Apple Watch Series 5 40mm 44mm WIFI + GPS + Cellular - Heavy Scratch,Pre-Owned,$72.99,240,True,0
Apple Watch Ultra GPS & Cellular Unlocked 49mm Titanium - US Version . Excellent,Excellent - Refurbished,$298.99,123,True,0
Apple Watch Series Se 2nd Gen 44mm Gps Aluminum  Sport Band 32GB,Pre-Owned,$105.00,9,True,0
Apple Watch Series 8 45mm GPS + Cellular Aluminum +  Sport Band 32GB - Excellent,Excellent - Refurbished,$157.00,0,True,0
Apple Watch Series 11 [GPS + Cellular 42mm] - Jet Aluminum Case with,Excellent - Refurbished,$346.99,0,True,0
Apple Watch Series 8 45mm Gps Aluminum 32GB - Very Good,Very Good - Refurbished,$151.00,0,True,0
Apple Watch Series 9 [GPS + Cellular 41mm] Aluminum Case - Brand New Inbox,Brand New,$275.00,0,True,0
Apple Watch Gen 7 Series 7 41mm Green Aluminum - Clover Sport Band MKN03LL/A,Brand New,$137.00,0,True,0
Apple Watch Series 5 40mm 44mm GPS + Cellular - All Colors W/ Sport Band,Pre-Owned,$78.99,0,False,0
Apple Watch Series 8 45mm (GPS + Cellular) Aluminum Case - Excellent,Excellent - Refurbished,$163.99,265,True,0
Apple Watch SE 3 40mm GPS Starlight Aluminum Case w Sport Band S/M MEH34LW/A,Open Box,$189.00,413,True,0
Apple Watch Series SE (2nd Gen) 44mm GPS + WiFi + Cellular Unlocked - Good,Good - Refurbished,$107.49,488,True,0
Apple Watch Series 6 40mm (GPS + Cellular) Aluminum Case - Very Good,Very Good - Refurbished,$105.99,298,True,0
Apple Watch Series 11 46mm GPS Rose Gold w/ M/L Light Blush Sport Band MEV74LW/A,Open Box,$289.00,43,True,0
Apple Watch SE 3 40mm GPS Midnight Aluminum Case Sport Band S/M MEH94LW/A,Open Box,$179.99,18,True,0
Apple Watch Ultra 3 49mm GPS + Cellular Titanium w/ No Band,Pre-Owned,$519.00,0,True,0
Apple Watch Hermes Series 8 41mm GPS + Cellular Stainless Steel 32GB - Very Good,Very Good - Refurbished,$279.99,0,True,0
Apple Watch Ultra GPS & Cellular 49mm Titanium Trail Alpine Loop Ocean Excellent,Excellent - Refurbished,$309.99,626,True,0
Apple Watch Series 8 41mm - Gps Only - Aluminum - 32GB - Good,Good - Refurbished,$133.00,0,True,0
Apple Watch Series 6 44mm (GPS + Cellular) Aluminum Case - Good,Good - Refurbished,$96.99,915,True,0
Apple Watch Series 9 45mm (GPS + Cellular) Aluminum Case - Excellent,Excellent - Refurbished,$202.99,153,True,0
Apple Watch Series 3 38mm 42mm GPS+ WIFI + LTE UNLOCKED Gold Gray Silver - Good,Good - Refurbished,$79.29,386,True,0
Apple Watch SE 1st Gen GPS 40mm Rose Gold Aluminum Case Starlight New Sealed,Brand New,$129.00,102,True,0
Apple Watch Series 6 44mm (GPS + Cellular) Aluminum Case - Excellent,Excellent - Refurbished,$119.99,328,True,0
Apple Watch Series 5 40mm 44mm Wifi GPS + Cellular Gold Space Gray Silver - Used,Pre-Owned,$79.99,128,True,0
Apple Watch SE 2 Cell 40mm Starlight Aluminum - Starlight Sport Band MXFY3LL/A,Open Box,$119.00,112,True,0
"Google Pixel Watch 3 (2024) 45mm (GPS Only, No Cellular) Black Aluminum (Good)",Good - Refurbished,$106.19,51,True,0
Apple Watch Series 3 38mm 42mm GPS + Cellular Gold Gray Silver With Band,Pre-Owned,$70.99,0,False,0
Apple Watch Series 3 38mm 42mm GPS + WiFi + Bluetooth Gold Gray Silver - Good,Good - Refurbished,$79.39,540,True,0
Apple Watch Series 8 GPS + LTE 45MM Starlight Aluminum Case Starlight Sport Band,Pre-Owned,$129.95,113,True,0
Apple Watch Series 4 40mm 44mm GPS + WIFI + Cellular - Heavy Scratch,Pre-Owned,$69.99,0,True,0
Apple Watch Series 10 42MM GPS Only - Aluminum - Sport Band 64GB - Excellent,Excellent - Refurbished,$284.00,0,True,0
Apple Watch Series Se 2nd Gen 40mm Gps Aluminum 32GB - Very Good,Very Good - Refurbished,$118.00,0,True,0
Apple Watch Series 10 GPS + Cellular 46mm Smartwatch Aluminium Case - Very Good,Very Good - Refurbished,$251.99,0,True,0
Garmin Venu 2 Smartwatch GPS 8GB - Good,Good - Refurbished,$165.00,0,True,0
